epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.65,1.06307,1.80014,0.97194,0.9208,0.81127,0.98922,0.77513,0.92879,1.96541,0.92218,0.000412913,0.000412913,0.000412913
2,267.338,1.00541,0.85981,0.95133,0.96078,0.95319,0.99337,0.77858,0.92944,0.81518,0.93688,0.000825473,0.000825473,0.000825473
3,443.525,0.99707,0.76619,0.95278,0.98648,0.99396,0.99339,0.79257,0.92293,0.6433,0.95158,0.00123391,0.00123391,0.00123391
4,610.475,0.98529,0.65401,0.95271,0.98444,0.99342,0.99327,0.79647,0.90701,0.53812,0.93727,0.00123144,0.00123144,0.00123144
5,782.407,0.97808,0.59237,0.95033,0.98323,0.99255,0.99344,0.79822,0.90026,0.48758,0.94373,0.00122525,0.00122525,0.00122525
6,942.243,0.96691,0.54451,0.94849,0.98904,0.998,0.99411,0.7978,0.90638,0.45515,0.94052,0.00121906,0.00121906,0.00121906
7,1108.67,0.96858,0.51985,0.94758,0.98721,0.99633,0.99379,0.81157,0.88579,0.42858,0.93901,0.00121287,0.00121287,0.00121287
8,1276.61,0.96027,0.49445,0.94626,0.9912,0.99284,0.99408,0.80011,0.88216,0.42587,0.93857,0.00120669,0.00120669,0.00120669
9,1449.59,0.96162,0.48253,0.94588,0.98945,0.99681,0.99438,0.81463,0.8746,0.4112,0.9373,0.0012005,0.0012005,0.0012005
10,1605.57,0.94941,0.46222,0.94466,0.98969,0.99485,0.9941,0.81669,0.87786,0.41511,0.93607,0.00119431,0.00119431,0.00119431
11,1770.76,0.95735,0.4642,0.94854,0.98838,0.99544,0.99405,0.81495,0.88313,0.4162,0.94088,0.00118812,0.00118812,0.00118812
12,1931.54,0.94381,0.45628,0.93592,0.716,0.85522,0.99074,0.80047,0.88786,0.74468,0.94414,0.00118194,0.00118194,0.00118194
13,2077.29,0.95489,0.44948,0.94729,0.98904,0.99286,0.99417,0.80973,0.87047,0.40492,0.93728,0.00117575,0.00117575,0.00117575
14,2236.26,0.96,0.44993,0.94433,0.99237,0.9961,0.99425,0.82284,0.8946,0.3921,0.94757,0.00116956,0.00116956,0.00116956
15,2383.08,0.93613,0.43569,0.94087,0.98743,0.99724,0.99392,0.82278,0.86897,0.38884,0.93791,0.00116337,0.00116337,0.00116337
16,2541.98,0.92923,0.42749,0.93652,0.99312,0.9929,0.99408,0.83056,0.86317,0.37507,0.93426,0.00115719,0.00115719,0.00115719
17,2695.24,0.94619,0.4278,0.94138,0.99148,0.99723,0.99443,0.8313,0.87046,0.37074,0.93617,0.001151,0.001151,0.001151
18,2874.33,0.93732,0.42848,0.94026,0.99106,0.99489,0.99445,0.81556,0.8785,0.39687,0.94204,0.00114481,0.00114481,0.00114481
19,3041.31,0.93174,0.42583,0.94405,0.9932,0.9932,0.9942,0.82644,0.86912,0.38011,0.93993,0.00113863,0.00113863,0.00113863
20,3216.47,0.93493,0.41648,0.93819,0.99203,0.99534,0.99427,0.82605,0.8759,0.37912,0.94092,0.00113244,0.00113244,0.00113244
21,3384.91,0.92836,0.41867,0.93598,0.99282,0.99438,0.99397,0.82943,0.86825,0.36878,0.93805,0.00112625,0.00112625,0.00112625
22,3553.41,0.93073,0.41116,0.94146,0.99199,0.99476,0.99404,0.83254,0.85354,0.36564,0.93215,0.00112006,0.00112006,0.00112006
23,3726.06,0.9343,0.41134,0.93494,0.99084,0.99716,0.99405,0.82701,0.85775,0.35914,0.93402,0.00111388,0.00111388,0.00111388
24,3885.2,0.91603,0.4106,0.93667,0.99288,0.99363,0.99408,0.83091,0.85395,0.3668,0.93381,0.00110769,0.00110769,0.00110769
25,4056.76,0.93018,0.40896,0.94047,0.98943,0.99438,0.99373,0.81923,0.88054,0.37315,0.94061,0.0011015,0.0011015,0.0011015
26,4230.92,0.9183,0.40869,0.93726,0.99302,0.99122,0.99414,0.82463,0.87426,0.36864,0.93704,0.00109531,0.00109531,0.00109531
27,4399.18,0.91551,0.40658,0.93608,0.9899,0.99432,0.99433,0.8284,0.87101,0.37347,0.93872,0.00108913,0.00108913,0.00108913
28,4569.05,0.93039,0.40828,0.9358,0.99385,0.99357,0.99384,0.83245,0.85996,0.35888,0.93775,0.00108294,0.00108294,0.00108294
29,4741.66,0.91914,0.40333,0.93757,0.98666,0.9894,0.99436,0.83549,0.85679,0.35577,0.93434,0.00107675,0.00107675,0.00107675
